date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:31:21	58504/58504	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202026%2022:01:19%20GMT	https://portswigger.net/web-security/all-materials	/home/siddhant/portswigger/portswigger.net/web-security/all-materials.html	(from )
03:31:22	96/96	---M--	200	added ('OK')	text/plain	etag:%221dcccc08582c860%22	https://portswigger.net/robots.txt		(from )
03:31:22	74880/74880	---M--	200	added ('OK')	image/png	etag:%221dbea5a5ca6a080%22	https://portswigger.net/content/images/logos/academy-twittercard.png	/home/siddhant/portswigger/portswigger.net/content/images/logos/academy-twittercard.png	(from https://portswigger.net/web-security/all-materials)
03:31:23	15406/15406	---M--	200	added ('OK')	image/x-icon	etag:%221dc129cec20192e%22	https://portswigger.net/content/images/logos/favicon.ico	/home/siddhant/portswigger/portswigger.net/content/images/logos/favicon.ico	(from https://portswigger.net/web-security/all-materials)
03:31:24	4052/4052	---M--	200	added ('OK')	image/png	etag:%221dcb16e8cbd3fd4%22	https://portswigger.net/content/images/logos/apple-touch-icon.png	/home/siddhant/portswigger/portswigger.net/content/images/logos/apple-touch-icon.png	(from https://portswigger.net/web-security/all-materials)
03:31:26	512380/512380	---MCZ	200	added ('OK')	text/css	etag:W/%221dcccc1dba3ea7c%22	https://portswigger.net/content/pswebsecacademy.css	/home/siddhant/portswigger/portswigger.net/content/pswebsecacademy.css	(from https://portswigger.net/web-security/all-materials)
03:31:26	8496/8496	---M--	200	added ('OK')	application/font-woff	etag:%221dcccc08582e930%22	https://portswigger.net/content/fonts/ps-icons-small/ps-icons-small.woff?td2uot	/home/siddhant/portswigger/portswigger.net/content/fonts/ps-icons-small/ps-icons-small5722.woff	(from https://portswigger.net/web-security/all-materials)
03:31:27	26704/26704	---M--	200	added ('OK')	application/font-woff	etag:%221dcccc08582a050%22	https://portswigger.net/content/fonts/ps-main/ps-icons.woff?l1la2n	/home/siddhant/portswigger/portswigger.net/content/fonts/ps-main/ps-icons6208.woff	(from https://portswigger.net/web-security/all-materials)
03:31:28	554/554	---M--	200	added ('OK')	image/svg+xml	etag:%221dc01f9bdf97b2a%22	https://portswigger.net/content/images/svg/icons/enterprise.svg	/home/siddhant/portswigger/portswigger.net/content/images/svg/icons/enterprise.svg	(from https://portswigger.net/web-security/all-materials)
03:31:29	398/398	---M--	200	added ('OK')	image/svg+xml	etag:%221dc01f9bdf9788e%22	https://portswigger.net/content/images/svg/icons/professional.svg	/home/siddhant/portswigger/portswigger.net/content/images/svg/icons/professional.svg	(from https://portswigger.net/web-security/all-materials)
03:31:30	554/554	---M--	200	added ('OK')	image/svg+xml	etag:%221dc01f9bdf97b2a%22	https://portswigger.net/content/images/svg/icons/community.svg	/home/siddhant/portswigger/portswigger.net/content/images/svg/icons/community.svg	(from https://portswigger.net/web-security/all-materials)
03:31:31	15444/15444	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Aug%202025%2007:38:13%20GMT	https://portswigger.net/mega-nav/images/burp-suite-scanner.jpg	/home/siddhant/portswigger/portswigger.net/mega-nav/images/burp-suite-scanner.jpg	(from https://portswigger.net/web-security/all-materials)
03:31:32	13037/13037	---M--	200	added ('OK')	image/jpeg	date:Mon,%2015%20Sep%202025%2022:42:22%20GMT	https://portswigger.net/mega-nav/images/burp-suite.jpg	/home/siddhant/portswigger/portswigger.net/mega-nav/images/burp-suite.jpg	(from https://portswigger.net/web-security/all-materials)
03:31:33	6922/6922	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Jan%202026%2005:26:35%20GMT	https://portswigger.net/mega-nav/images/latest-burp-suite-software-download.jpg	/home/siddhant/portswigger/portswigger.net/mega-nav/images/latest-burp-suite-software-download.jpg	(from https://portswigger.net/web-security/all-materials)
03:31:35	32738/32738	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202026%2022:01:33%20GMT	https://portswigger.net/web-security/dashboard	/home/siddhant/portswigger/portswigger.net/web-security/dashboard.html	(from https://portswigger.net/web-security/all-materials)
03:31:36	26040/26040	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202026%2022:01:34%20GMT	https://portswigger.net/web-security/learning-paths	/home/siddhant/portswigger/portswigger.net/web-security/learning-paths.html	(from https://portswigger.net/web-security/all-materials)
